Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2001,1,New York City,Bronx,13800,12290000
2001,1,New York City,Kings,26900,23980000
2001,1,New York City,New York,17600,18990000
2001,1,New York City,Queens,20600,19850000
2001,1,New York City,Richmond,4300,4110000
2001,2,New York City,Bronx,12800,10400000
2001,2,New York City,Kings,24300,20040000
2001,2,New York City,New York,17300,16590000
2001,2,New York City,Queens,19200,16910000
2001,2,New York City,Richmond,3600,3280000
2001,3,New York City,Bronx,13200,10930000
2001,3,New York City,Kings,25000,21290000
2001,3,New York City,New York,18100,18170000
2001,3,New York City,Queens,20100,18030000
2001,3,New York City,Richmond,3500,3350000
2001,4,New York City,Bronx,13900,11680000
2001,4,New York City,Kings,27500,23170000
2001,4,New York City,New York,19200,19980000
2001,4,New York City,Queens,21400,19300000
2001,4,New York City,Richmond,4200,3850000
2001,5,New York City,Bronx,13400,12070000
2001,5,New York City,Kings,26100,24420000
2001,5,New York City,New York,20400,22680000
2001,5,New York City,Queens,20700,20130000
2001,5,New York City,Richmond,3600,3880000
2001,6,New York City,Bronx,13300,11250000
2001,6,New York City,Kings,26000,23520000
2001,6,New York City,New York,21400,22440000
2001,6,New York City,Queens,20200,19120000
2001,6,New York City,Richmond,3700,3800000
2001,7,New York City,Bronx,15200,14550000
2001,7,New York City,Kings,30200,30180000
2001,7,New York City,New York,23800,27930000
2001,7,New York City,Queens,23100,24360000
2001,7,New York City,Richmond,4800,5430000
2001,8,New York City,Bronx,15500,13710000
2001,8,New York City,Kings,30900,29500000
2001,8,New York City,New York,24300,27250000
2001,8,New York City,Queens,23100,23080000
2001,8,New York City,Richmond,5000,5190000
2001,9,New York City,Bronx,16500,13260000
2001,9,New York City,Kings,33300,27710000
2001,9,New York City,New York,25400,25880000
2001,9,New York City,Queens,24900,22210000
2001,9,New York City,Richmond,5200,4630000
2001,10,New York City,Bronx,18600,18390000
2001,10,New York City,Kings,36900,37800000
2001,10,New York City,New York,30000,35630000
2001,10,New York City,Queens,30000,31750000
2001,10,New York City,Richmond,5000,5890000
2001,11,New York City,Bronx,18300,16480000
2001,11,New York City,Kings,36900,34340000
2001,11,New York City,New York,30300,32210000
2001,11,New York City,Queens,30300,29620000
2001,11,New York City,Richmond,5000,5170000
2001,12,New York City,Bronx,19300,18040000
2001,12,New York City,Kings,39400,37340000
2001,12,New York City,New York,31100,34560000
2001,12,New York City,Queens,32300,32860000
2001,12,New York City,Richmond,5800,6010000
2002,1,New York City,Bronx,21700,20330000
2002,1,New York City,Kings,44100,43070000
2002,1,New York City,New York,33700,38810000
2002,1,New York City,Queens,36300,37480000
2002,1,New York City,Richmond,6200,6670000
2002,2,New York City,Bronx,20200,17680000
2002,2,New York City,Kings,40800,36780000
2002,2,New York City,New York,31800,33050000
2002,2,New York City,Queens,34000,32510000
2002,2,New York City,Richmond,5800,5860000
2002,3,New York City,Bronx,19900,17150000
2002,3,New York City,Kings,39800,35640000
2002,3,New York City,New York,30900,32070000
2002,3,New York City,Queens,33300,31630000
2002,3,New York City,Richmond,5600,5730000
2002,4,New York City,Bronx,20600,18740000
2002,4,New York City,Kings,41600,38530000
2002,4,New York City,New York,30600,34500000
2002,4,New York City,Queens,33800,33880000
2002,4,New York City,Richmond,6500,6660000
2002,5,New York City,Bronx,17700,15890000
2002,5,New York City,Kings,34700,32610000
2002,5,New York City,New York,27600,29390000
2002,5,New York City,Queens,27900,27650000
2002,5,New York City,Richmond,5100,5520000
2002,6,New York City,Bronx,16600,14450000
2002,6,New York City,Kings,31900,28970000
2002,6,New York City,New York,26000,26690000
2002,6,New York City,Queens,25600,24380000
2002,6,New York City,Richmond,4900,5110000
2002,7,New York City,Bronx,18500,18370000
2002,7,New York City,Kings,35800,36930000
2002,7,New York City,New York,27200,32420000
2002,7,New York City,Queens,28000,30440000
2002,7,New York City,Richmond,6000,7110000
2002,8,New York City,Bronx,17500,15230000
2002,8,New York City,Kings,34200,31160000
2002,8,New York City,New York,25500,26760000
2002,8,New York City,Queens,26200,25140000
2002,8,New York City,Richmond,5800,5990000
2002,9,New York City,Bronx,18000,16130000
2002,9,New York City,Kings,35100,31610000
2002,9,New York City,New York,25400,27190000
2002,9,New York City,Queens,26700,25880000
2002,9,New York City,Richmond,5700,5690000
2002,10,New York City,Bronx,16800,15560000
2002,10,New York City,Kings,31600,30360000
2002,10,New York City,New York,24500,26780000
2002,10,New York City,Queens,24500,25290000
2002,10,New York City,Richmond,4600,5120000
2002,11,New York City,Bronx,16600,14150000
2002,11,New York City,Kings,30700,27210000
2002,11,New York City,New York,23400,23190000
2002,11,New York City,Queens,23900,22380000
2002,11,New York City,Richmond,4400,4530000
2002,12,New York City,Bronx,18100,17600000
2002,12,New York City,Kings,34700,33660000
2002,12,New York City,New York,24300,27160000
2002,12,New York City,Queens,27100,28350000
2002,12,New York City,Richmond,5700,6010000
2003,1,New York City,Bronx,19700,17030000
2003,1,New York City,Kings,37200,32800000
2003,1,New York City,New York,25900,26460000
2003,1,New York City,Queens,29600,28150000
2003,1,New York City,Richmond,5700,5760000
2003,2,New York City,Bronx,18800,16220000
2003,2,New York City,Kings,35000,30990000
2003,2,New York City,New York,24600,24160000
2003,2,New York City,Queens,28400,26850000
2003,2,New York City,Richmond,5500,5590000
2003,3,New York City,Bronx,19400,18340000
2003,3,New York City,Kings,35400,34460000
2003,3,New York City,New York,24900,26590000
2003,3,New York City,Queens,29000,29990000
2003,3,New York City,Richmond,5400,6170000
2003,4,New York City,Bronx,19400,17120000
2003,4,New York City,Kings,36700,33480000
2003,4,New York City,New York,24600,25910000
2003,4,New York City,Queens,29300,28520000
2003,4,New York City,Richmond,5900,5890000
2003,5,New York City,Bronx,18100,14980000
2003,5,New York City,Kings,34100,29520000
2003,5,New York City,New York,23300,23220000
2003,5,New York City,Queens,27300,25070000
2003,5,New York City,Richmond,4900,5050000
2003,6,New York City,Bronx,17700,16890000
2003,6,New York City,Kings,33100,32190000
2003,6,New York City,New York,23600,25550000
2003,6,New York City,Queens,26400,27080000
2003,6,New York City,Richmond,5000,5500000
2003,7,New York City,Bronx,19600,17830000
2003,7,New York City,Kings,36800,34880000
2003,7,New York City,New York,24800,26620000
2003,7,New York City,Queens,28400,28720000
2003,7,New York City,Richmond,6100,6430000
2003,8,New York City,Bronx,18700,16120000
2003,8,New York City,Kings,34600,30930000
2003,8,New York City,New York,23300,23110000
2003,8,New York City,Queens,26500,25130000
2003,8,New York City,Richmond,5700,5800000
2003,9,New York City,Bronx,19700,18360000
2003,9,New York City,Kings,36200,34040000
2003,9,New York City,New York,23500,25580000
2003,9,New York City,Queens,27600,28170000
2003,9,New York City,Richmond,5800,5970000
2003,10,New York City,Bronx,16900,15160000
2003,10,New York City,Kings,30200,27890000
2003,10,New York City,New York,21000,21360000
2003,10,New York City,Queens,23600,23340000
2003,10,New York City,Richmond,4400,4580000
2003,11,New York City,Bronx,16700,14360000
2003,11,New York City,Kings,29300,26030000
2003,11,New York City,New York,19800,19140000
2003,11,New York City,Queens,22700,21540000
2003,11,New York City,Richmond,4300,4380000
2003,12,New York City,Bronx,17700,17960000
2003,12,New York City,Kings,31200,31860000
2003,12,New York City,New York,20600,23000000
2003,12,New York City,Queens,24800,26990000
2003,12,New York City,Richmond,5000,5540000
2004,1,New York City,Bronx,18900,15410000
2004,1,New York City,Kings,33700,28000000
2004,1,New York City,New York,21100,20100000
2004,1,New York City,Queens,26900,24390000
2004,1,New York City,Richmond,5800,5060000
2004,2,New York City,Bronx,17600,15120000
2004,2,New York City,Kings,30700,26930000
2004,2,New York City,New York,20000,19180000
2004,2,New York City,Queens,25400,23820000
2004,2,New York City,Richmond,5100,4850000
2004,3,New York City,Bronx,17800,17700000
2004,3,New York City,Kings,30600,31100000
2004,3,New York City,New York,20200,22190000
2004,3,New York City,Queens,25500,27820000
2004,3,New York City,Richmond,4800,5500000
2004,4,New York City,Bronx,16900,13340000
2004,4,New York City,Kings,30900,24880000
2004,4,New York City,New York,18500,17500000
2004,4,New York City,Queens,24300,21450000
2004,4,New York City,Richmond,5200,4400000
2004,5,New York City,Bronx,14200,12020000
2004,5,New York City,Kings,25200,21980000
2004,5,New York City,New York,17300,16350000
2004,5,New York City,Queens,20400,19200000
2004,5,New York City,Richmond,3900,3910000
2004,6,New York City,Bronx,14200,14380000
2004,6,New York City,Kings,25200,26030000
2004,6,New York City,New York,17700,19980000
2004,6,New York City,Queens,20400,22640000
2004,6,New York City,Richmond,4100,4720000
2004,7,New York City,Bronx,15500,13170000
2004,7,New York City,Kings,28600,25020000
2004,7,New York City,New York,18500,17920000
2004,7,New York City,Queens,22100,20940000
2004,7,New York City,Richmond,5100,5040000
2004,8,New York City,Bronx,15400,15360000
2004,8,New York City,Kings,28100,28830000
2004,8,New York City,New York,18500,20800000
2004,8,New York City,Queens,21700,23460000
2004,8,New York City,Richmond,5200,5820000
2004,9,New York City,Bronx,15300,12920000
2004,9,New York City,Kings,28300,24110000
2004,9,New York City,New York,18200,17830000
2004,9,New York City,Queens,21400,19750000
2004,9,New York City,Richmond,4900,4410000
2004,10,New York City,Bronx,13200,11350000
2004,10,New York City,Kings,22900,20250000
2004,10,New York City,New York,16600,15930000
2004,10,New York City,Queens,18300,17470000
2004,10,New York City,Richmond,3600,3590000
2004,11,New York City,Bronx,13700,13310000
2004,11,New York City,Kings,23300,23130000
2004,11,New York City,New York,16800,18020000
2004,11,New York City,Queens,18800,20140000
2004,11,New York City,Richmond,3700,4110000
2004,12,New York City,Bronx,13800,12620000
2004,12,New York City,Kings,23700,22420000
2004,12,New York City,New York,16800,16910000
2004,12,New York City,Queens,19600,19790000
2004,12,New York City,Richmond,3900,3990000
2005,1,New York City,Bronx,16600,14450000
2005,1,New York City,Kings,29600,25460000
2005,1,New York City,New York,19100,18790000
2005,1,New York City,Queens,24400,22760000
2005,1,New York City,Richmond,5300,4780000
2005,2,New York City,Bronx,14600,12620000
2005,2,New York City,Kings,25400,22610000
2005,2,New York City,New York,17400,16490000
2005,2,New York City,Queens,21800,20890000
2005,2,New York City,Richmond,4200,4150000
2005,3,New York City,Bronx,15100,14310000
2005,3,New York City,Kings,25900,25330000
2005,3,New York City,New York,17500,18380000
2005,3,New York City,Queens,22400,23540000
2005,3,New York City,Richmond,4300,4640000
2005,4,New York City,Bronx,13800,11940000
2005,4,New York City,Kings,23700,21340000
2005,4,New York City,New York,16200,15430000
2005,4,New York City,Queens,20400,19440000
2005,4,New York City,Richmond,3900,3880000
2005,5,New York City,Bronx,14600,13640000
2005,5,New York City,Kings,26400,24340000
2005,5,New York City,New York,16600,17510000
2005,5,New York City,Queens,21000,21500000
2005,5,New York City,Richmond,4700,4560000
2005,6,New York City,Bronx,13000,12160000
2005,6,New York City,Kings,22500,21820000
2005,6,New York City,New York,16000,16830000
2005,6,New York City,Queens,18600,19670000
2005,6,New York City,Richmond,3800,4060000
2005,7,New York City,Bronx,14700,12480000
2005,7,New York City,Kings,25800,22590000
2005,7,New York City,New York,16900,16160000
2005,7,New York City,Queens,20400,19360000
2005,7,New York City,Richmond,4800,4500000
2005,8,New York City,Bronx,15000,15370000
2005,8,New York City,Kings,26600,27950000
2005,8,New York City,New York,17300,19580000
2005,8,New York City,Queens,20800,23050000
2005,8,New York City,Richmond,4900,5740000
2005,9,New York City,Bronx,14600,12120000
2005,9,New York City,Kings,25900,21620000
2005,9,New York City,New York,16400,15980000
2005,9,New York City,Queens,20000,18240000
2005,9,New York City,Richmond,4700,3990000
2005,10,New York City,Bronx,13000,12380000
2005,10,New York City,Kings,22000,21270000
2005,10,New York City,New York,15500,16120000
2005,10,New York City,Queens,17700,18280000
2005,10,New York City,Richmond,3600,3700000
2005,11,New York City,Bronx,12700,11990000
2005,11,New York City,Kings,21500,20940000
2005,11,New York City,New York,15200,15870000
2005,11,New York City,Queens,17200,18200000
2005,11,New York City,Richmond,3400,3590000
2005,12,New York City,Bronx,13000,11790000
2005,12,New York City,Kings,21800,20270000
2005,12,New York City,New York,15300,15270000
2005,12,New York City,Queens,18000,17910000
2005,12,New York City,Richmond,3700,3680000
2006,1,New York City,Bronx,15700,14830000
2006,1,New York City,Kings,27400,25800000
2006,1,New York City,New York,17800,18850000
2006,1,New York City,Queens,22400,23090000
2006,1,New York City,Richmond,5000,4890000
2006,2,New York City,Bronx,13700,12150000
2006,2,New York City,Kings,23200,21220000
2006,2,New York City,New York,15900,15660000
2006,2,New York City,Queens,19600,19590000
2006,2,New York City,Richmond,3800,3950000
2006,3,New York City,Bronx,13900,12660000
2006,3,New York City,Kings,23400,21900000
2006,3,New York City,New York,16100,16290000
2006,3,New York City,Queens,20100,20110000
2006,3,New York City,Richmond,3800,3980000
2006,4,New York City,Bronx,13800,11230000
2006,4,New York City,Kings,24200,19810000
2006,4,New York City,New York,15500,14530000
2006,4,New York City,Queens,19400,17590000
2006,4,New York City,Richmond,4400,3730000
2006,5,New York City,Bronx,13200,12900000
2006,5,New York City,Kings,22500,22480000
2006,5,New York City,New York,15300,16940000
2006,5,New York City,Queens,18500,19980000
2006,5,New York City,Richmond,3600,4090000
2006,6,New York City,Bronx,11900,10780000
2006,6,New York City,Kings,20200,18980000
2006,6,New York City,New York,15000,15320000
2006,6,New York City,Queens,16500,16920000
2006,6,New York City,Richmond,3300,3400000
2006,7,New York City,Bronx,14000,13250000
2006,7,New York City,Kings,24600,23530000
2006,7,New York City,New York,16000,16660000
2006,7,New York City,Queens,18900,19740000
2006,7,New York City,Richmond,4600,4810000
2006,8,New York City,Bronx,14200,13600000
2006,8,New York City,Kings,24600,24490000
2006,8,New York City,New York,16000,17570000
2006,8,New York City,Queens,18700,20010000
2006,8,New York City,Richmond,4600,4980000
2006,9,New York City,Bronx,14300,11640000
2006,9,New York City,Kings,24500,19770000
2006,9,New York City,New York,15700,15190000
2006,9,New York City,Queens,18300,16490000
2006,9,New York City,Richmond,4400,3610000
2006,10,New York City,Bronx,12700,12710000
2006,10,New York City,Kings,20400,21290000
2006,10,New York City,New York,14700,16360000
2006,10,New York City,Queens,16000,17880000
2006,10,New York City,Richmond,3400,3800000
2006,11,New York City,Bronx,12300,11080000
2006,11,New York City,Kings,20100,18960000
2006,11,New York City,New York,14100,14110000
2006,11,New York City,Queens,15800,15690000
2006,11,New York City,Richmond,3300,3350000
2006,12,New York City,Bronx,12700,11140000
2006,12,New York City,Kings,20700,19290000
2006,12,New York City,New York,14200,13910000
2006,12,New York City,Queens,16300,15940000
2006,12,New York City,Richmond,3400,3380000
2007,1,New York City,Bronx,15700,14810000
2007,1,New York City,Kings,26700,25770000
2007,1,New York City,New York,16900,18520000
2007,1,New York City,Queens,21000,21770000
2007,1,New York City,Richmond,4800,4660000
2007,2,New York City,Bronx,13300,11950000
2007,2,New York City,Kings,22400,20740000
2007,2,New York City,New York,14900,14730000
2007,2,New York City,Queens,18300,17930000
2007,2,New York City,Richmond,3700,3720000
2007,3,New York City,Bronx,13700,12190000
2007,3,New York City,Kings,22100,20770000
2007,3,New York City,New York,14800,14760000
2007,3,New York City,Queens,18100,17960000
2007,3,New York City,Richmond,3600,3700000
2007,4,New York City,Bronx,14300,12710000
2007,4,New York City,Kings,24700,22100000
2007,4,New York City,New York,15100,15560000
2007,4,New York City,Queens,18800,18200000
2007,4,New York City,Richmond,4300,3970000
2007,5,New York City,Bronx,11900,11140000
2007,5,New York City,Kings,20200,19890000
2007,5,New York City,New York,14200,15140000
2007,5,New York City,Queens,16000,16880000
2007,5,New York City,Richmond,3100,3360000
2007,6,New York City,Bronx,11700,10560000
2007,6,New York City,Kings,19400,18290000
2007,6,New York City,New York,14000,14050000
2007,6,New York City,Queens,15400,15360000
2007,6,New York City,Richmond,3000,3060000
2007,7,New York City,Bronx,14200,14390000
2007,7,New York City,Kings,24300,25470000
2007,7,New York City,New York,15700,17580000
2007,7,New York City,Queens,18200,20320000
2007,7,New York City,Richmond,4400,4850000
2007,8,New York City,Bronx,14300,13270000
2007,8,New York City,Kings,24600,24000000
2007,8,New York City,New York,15400,16240000
2007,8,New York City,Queens,18400,18670000
2007,8,New York City,Richmond,4500,4690000
2007,9,New York City,Bronx,14100,11290000
2007,9,New York City,Kings,24200,19740000
2007,9,New York City,New York,15100,14450000
2007,9,New York City,Queens,18000,16170000
2007,9,New York City,Richmond,4300,3520000
2007,10,New York City,Bronx,12200,12630000
2007,10,New York City,Kings,20100,21370000
2007,10,New York City,New York,14200,16100000
2007,10,New York City,Queens,16000,18220000
2007,10,New York City,Richmond,3200,3730000
2007,11,New York City,Bronx,12000,10820000
2007,11,New York City,Kings,19700,18480000
2007,11,New York City,New York,13700,13620000
2007,11,New York City,Queens,15800,15620000
2007,11,New York City,Richmond,3200,3210000
2007,12,New York City,Bronx,13500,13140000
2007,12,New York City,Kings,22800,22340000
2007,12,New York City,New York,14600,15600000
2007,12,New York City,Queens,18000,18830000
2007,12,New York City,Richmond,4200,4110000
2008,1,New York City,Bronx,15100,13460000
2008,1,New York City,Kings,25400,23820000
2008,1,New York City,New York,16600,17350000
2008,1,New York City,Queens,20500,20480000
2008,1,New York City,Richmond,4300,4170000
2008,2,New York City,Bronx,14000,12630000
2008,2,New York City,Kings,23400,21760000
2008,2,New York City,New York,16000,16360000
2008,2,New York City,Queens,19400,19050000
2008,2,New York City,Richmond,4100,3990000
2008,3,New York City,Bronx,14500,14400000
2008,3,New York City,Kings,23600,24200000
2008,3,New York City,New York,16400,18010000
2008,3,New York City,Queens,19700,20920000
2008,3,New York City,Richmond,4100,4500000
2008,4,New York City,Bronx,14700,13400000
2008,4,New York City,Kings,24800,23240000
2008,4,New York City,New York,16400,17660000
2008,4,New York City,Queens,19800,19740000
2008,4,New York City,Richmond,4500,4310000
2008,5,New York City,Bronx,14000,12580000
2008,5,New York City,Kings,22800,21200000
2008,5,New York City,New York,16100,16680000
2008,5,New York City,Queens,18600,18370000
2008,5,New York City,Richmond,3800,3890000
2008,6,New York City,Bronx,13800,14290000
2008,6,New York City,Kings,22800,24170000
2008,6,New York City,New York,16900,19110000
2008,6,New York City,Queens,18600,20470000
2008,6,New York City,Richmond,4000,4470000
2008,7,New York City,Bronx,16200,15520000
2008,7,New York City,Kings,27800,28270000
2008,7,New York City,New York,18600,20770000
2008,7,New York City,Queens,21500,22690000
2008,7,New York City,Richmond,5300,5680000
2008,8,New York City,Bronx,16600,15420000
2008,8,New York City,Kings,28200,27620000
2008,8,New York City,New York,19300,20330000
2008,8,New York City,Queens,21500,21760000
2008,8,New York City,Richmond,5300,5460000
2008,9,New York City,Bronx,17600,17100000
